code,year,value,inicator
AFG,2021,55.93,ED_15-24_LR: Youth literacy rate for 15-24 years
AFG,2015,53.90,ED_CR_L1: Completion rate for children of primary school age
AFG,2015,37.22,ED_CR_L2: Completion rate for adolescents of lower secondary school age
AFG,1975,24.40,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1976,24.30,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1977,24.10,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1978,24.00,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1979,23.90,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1980,23.70,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1981,23.60,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1982,23.50,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1983,23.40,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1984,23.20,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1985,23.10,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1986,23.00,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1987,22.90,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1988,22.70,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1989,22.60,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1990,22.50,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1991,22.30,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1992,22.10,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1993,22.00,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1994,21.80,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1995,21.60,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1996,21.50,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1997,21.30,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1998,21.10,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,1999,20.90,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2000,20.70,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2001,20.50,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2002,20.40,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2003,20.20,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2004,19.90,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2005,19.70,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2006,19.50,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2007,19.30,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2008,19.10,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2009,18.90,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2010,18.70,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2011,18.40,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2012,18.20,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2013,18.00,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2014,17.70,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2015,17.50,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2016,17.30,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
AFG,2019,507.10,SPP_GDPPC: GDP per capita (current US$)
ALB,1978,96.36,CME_MRY0T4: Under-five mortality rate
ALB,1979,88.65,CME_MRY0T4: Under-five mortality rate
ALB,1980,81.32,CME_MRY0T4: Under-five mortality rate
ALB,1981,74.79,CME_MRY0T4: Under-five mortality rate
ALB,1982,69.03,CME_MRY0T4: Under-five mortality rate
ALB,1983,63.70,CME_MRY0T4: Under-five mortality rate
ALB,1984,58.91,CME_MRY0T4: Under-five mortality rate
ALB,1985,54.75,CME_MRY0T4: Under-five mortality rate
ALB,1986,51.09,CME_MRY0T4: Under-five mortality rate
ALB,1987,47.90,CME_MRY0T4: Under-five mortality rate
ALB,1988,45.16,CME_MRY0T4: Under-five mortality rate
ALB,1989,42.80,CME_MRY0T4: Under-five mortality rate
ALB,1990,40.83,CME_MRY0T4: Under-five mortality rate
ALB,1991,39.14,CME_MRY0T4: Under-five mortality rate
ALB,1992,37.63,CME_MRY0T4: Under-five mortality rate
ALB,1993,36.29,CME_MRY0T4: Under-five mortality rate
ALB,1994,35.03,CME_MRY0T4: Under-five mortality rate
ALB,1995,33.80,CME_MRY0T4: Under-five mortality rate
ALB,1996,32.53,CME_MRY0T4: Under-five mortality rate
ALB,1997,31.22,CME_MRY0T4: Under-five mortality rate
ALB,1998,29.89,CME_MRY0T4: Under-five mortality rate
ALB,1999,28.55,CME_MRY0T4: Under-five mortality rate
ALB,2000,27.18,CME_MRY0T4: Under-five mortality rate
ALB,2001,25.80,CME_MRY0T4: Under-five mortality rate
ALB,2002,24.38,CME_MRY0T4: Under-five mortality rate
ALB,2003,22.93,CME_MRY0T4: Under-five mortality rate
ALB,2004,21.46,CME_MRY0T4: Under-five mortality rate
ALB,2005,19.98,CME_MRY0T4: Under-five mortality rate
ALB,2006,18.52,CME_MRY0T4: Under-five mortality rate
ALB,2007,17.10,CME_MRY0T4: Under-five mortality rate
ALB,2008,15.76,CME_MRY0T4: Under-five mortality rate
ALB,2009,14.49,CME_MRY0T4: Under-five mortality rate
ALB,2010,13.29,CME_MRY0T4: Under-five mortality rate
ALB,2011,12.17,CME_MRY0T4: Under-five mortality rate
ALB,2012,11.21,CME_MRY0T4: Under-five mortality rate
ALB,2013,10.46,CME_MRY0T4: Under-five mortality rate
ALB,2014,9.92,CME_MRY0T4: Under-five mortality rate
ALB,2015,9.58,CME_MRY0T4: Under-five mortality rate
ALB,2016,9.40,CME_MRY0T4: Under-five mortality rate
ALB,2017,9.34,CME_MRY0T4: Under-five mortality rate
ALB,2018,9.34,CME_MRY0T4: Under-five mortality rate
ALB,2019,9.39,CME_MRY0T4: Under-five mortality rate
ALB,2020,9.44,CME_MRY0T4: Under-five mortality rate
ALB,2021,9.46,CME_MRY0T4: Under-five mortality rate
ALB,1970,64.82,DM_LIFE_EXP: Life expectancy
ALB,1971,65.62,DM_LIFE_EXP: Life expectancy
ALB,1972,66.42,DM_LIFE_EXP: Life expectancy
ALB,1973,67.14,DM_LIFE_EXP: Life expectancy
ALB,1974,67.77,DM_LIFE_EXP: Life expectancy
ALB,1975,68.33,DM_LIFE_EXP: Life expectancy
ALB,1976,68.70,DM_LIFE_EXP: Life expectancy
ALB,1977,69.12,DM_LIFE_EXP: Life expectancy
ALB,1978,69.31,DM_LIFE_EXP: Life expectancy
ALB,1979,69.58,DM_LIFE_EXP: Life expectancy
ALB,1980,70.48,DM_LIFE_EXP: Life expectancy
ALB,1981,70.73,DM_LIFE_EXP: Life expectancy
ALB,1982,71.02,DM_LIFE_EXP: Life expectancy
ALB,1983,71.30,DM_LIFE_EXP: Life expectancy
ALB,1984,71.50,DM_LIFE_EXP: Life expectancy
ALB,1985,71.66,DM_LIFE_EXP: Life expectancy
ALB,1986,71.95,DM_LIFE_EXP: Life expectancy
ALB,1987,72.35,DM_LIFE_EXP: Life expectancy
ALB,1988,72.64,DM_LIFE_EXP: Life expectancy
ALB,1989,72.88,DM_LIFE_EXP: Life expectancy
ALB,1990,73.14,DM_LIFE_EXP: Life expectancy
ALB,1991,73.38,DM_LIFE_EXP: Life expectancy
ALB,1992,73.71,DM_LIFE_EXP: Life expectancy
ALB,1993,73.94,DM_LIFE_EXP: Life expectancy
ALB,1994,74.13,DM_LIFE_EXP: Life expectancy
ALB,1995,74.36,DM_LIFE_EXP: Life expectancy
ALB,1996,74.59,DM_LIFE_EXP: Life expectancy
ALB,1997,73.90,DM_LIFE_EXP: Life expectancy
ALB,1998,74.99,DM_LIFE_EXP: Life expectancy
ALB,1999,75.18,DM_LIFE_EXP: Life expectancy
ALB,2000,75.40,DM_LIFE_EXP: Life expectancy
ALB,2001,75.64,DM_LIFE_EXP: Life expectancy
ALB,2002,75.89,DM_LIFE_EXP: Life expectancy
ALB,2003,76.14,DM_LIFE_EXP: Life expectancy
ALB,2004,76.38,DM_LIFE_EXP: Life expectancy
ALB,2005,76.62,DM_LIFE_EXP: Life expectancy
ALB,2006,76.82,DM_LIFE_EXP: Life expectancy
ALB,2007,77.55,DM_LIFE_EXP: Life expectancy
ALB,2008,77.65,DM_LIFE_EXP: Life expectancy
ALB,2009,77.78,DM_LIFE_EXP: Life expectancy
ALB,2010,77.94,DM_LIFE_EXP: Life expectancy
ALB,2011,78.09,DM_LIFE_EXP: Life expectancy
ALB,2012,78.06,DM_LIFE_EXP: Life expectancy
ALB,2013,78.12,DM_LIFE_EXP: Life expectancy
ALB,2014,78.41,DM_LIFE_EXP: Life expectancy
ALB,2015,78.64,DM_LIFE_EXP: Life expectancy
ALB,2016,78.86,DM_LIFE_EXP: Life expectancy
ALB,2017,79.05,DM_LIFE_EXP: Life expectancy
ALB,2018,79.18,DM_LIFE_EXP: Life expectancy
ALB,2019,79.28,DM_LIFE_EXP: Life expectancy
ALB,2020,76.99,DM_LIFE_EXP: Life expectancy
ALB,2021,76.46,DM_LIFE_EXP: Life expectancy
ALB,1970,2324.73,DM_POP_TOT: Total population
ALB,1971,2389.81,DM_POP_TOT: Total population
ALB,1972,2455.17,DM_POP_TOT: Total population
ALB,1973,2520.44,DM_POP_TOT: Total population
ALB,1974,2585.45,DM_POP_TOT: Total population
ALB,1975,2650.12,DM_POP_TOT: Total population
ALB,1976,2713.56,DM_POP_TOT: Total population
ALB,1977,2774.80,DM_POP_TOT: Total population
ALB,1978,2833.31,DM_POP_TOT: Total population
ALB,1979,2888.76,DM_POP_TOT: Total population
ALB,1980,2941.65,DM_POP_TOT: Total population
ALB,1981,2992.39,DM_POP_TOT: Total population
ALB,1982,3041.18,DM_POP_TOT: Total population
ALB,1983,3087.91,DM_POP_TOT: Total population
ALB,1984,3131.73,DM_POP_TOT: Total population
ALB,1985,3171.73,DM_POP_TOT: Total population
ALB,1986,3207.13,DM_POP_TOT: Total population
ALB,1987,3237.68,DM_POP_TOT: Total population
ALB,1988,3263.02,DM_POP_TOT: Total population
ALB,1989,3282.18,DM_POP_TOT: Total population
ALB,1990,3295.07,DM_POP_TOT: Total population
ALB,1991,3302.08,DM_POP_TOT: Total population
ALB,1992,3303.74,DM_POP_TOT: Total population
ALB,1993,3300.71,DM_POP_TOT: Total population
ALB,1994,3294.00,DM_POP_TOT: Total population
ALB,1995,3284.36,DM_POP_TOT: Total population
ALB,1996,3271.33,DM_POP_TOT: Total population
ALB,1997,3253.72,DM_POP_TOT: Total population
ALB,1998,3232.18,DM_POP_TOT: Total population
ALB,1999,3208.26,DM_POP_TOT: Total population
ALB,2000,3182.02,DM_POP_TOT: Total population
ALB,2001,3153.61,DM_POP_TOT: Total population
ALB,2002,3123.55,DM_POP_TOT: Total population
ALB,2003,3092.99,DM_POP_TOT: Total population
ALB,2004,3062.62,DM_POP_TOT: Total population
ALB,2005,3032.63,DM_POP_TOT: Total population
ALB,2006,3003.39,DM_POP_TOT: Total population
ALB,2007,2976.08,DM_POP_TOT: Total population
ALB,2008,2951.69,DM_POP_TOT: Total population
ALB,2009,2930.54,DM_POP_TOT: Total population
ALB,2010,2913.40,DM_POP_TOT: Total population
ALB,2011,2900.65,DM_POP_TOT: Total population
ALB,2012,2892.19,DM_POP_TOT: Total population
ALB,2013,2887.01,DM_POP_TOT: Total population
ALB,2014,2884.10,DM_POP_TOT: Total population
ALB,2015,2882.48,DM_POP_TOT: Total population
ALB,2016,2881.06,DM_POP_TOT: Total population
ALB,2017,2879.36,DM_POP_TOT: Total population
ALB,2018,2877.01,DM_POP_TOT: Total population
ALB,2019,2873.88,DM_POP_TOT: Total population
ALB,2020,2866.85,DM_POP_TOT: Total population
ALB,2021,2854.71,DM_POP_TOT: Total population
ALB,2017,3.61,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP)
ALB,2018,2.84,ECON_GVT_HLTH_EXP_PTGDP: government expenditure on health (% GDP)
ALB,2018,99.33,ED_15-24_LR: Youth literacy rate for 15-24 years
ALB,2018,94.92,ED_CR_L1: Completion rate for children of primary school age
ALB,2018,97.67,ED_CR_L2: Completion rate for adolescents of lower secondary school age
ALB,1975,4.10,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1976,4.00,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1977,3.90,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1978,3.80,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1979,3.70,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1980,3.60,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1981,3.50,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1982,3.40,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1983,3.40,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1984,3.30,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1985,3.20,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1986,3.20,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1987,3.10,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1988,3.10,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1989,3.00,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
ALB,1990,2.90,"NT_SANT_10_19_BAZ_NE2_MOD: Prevalence of thinness among children aged 10-19 years, BMI < -2 standard deviations below the median (Crude estimate)"
